StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q10,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q33,Q13,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q34,Q17,Q17_9_TEXT,Q20,Q22,Q22_9_TEXT,Q23,Q24_1,Q24_2,Q24_3,Q25,Q26_1,Q26_2,Q26_3,Q27_1,Q27_2,Q27_3,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_10,Q35,Q31,Q32,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q36_10,Q36_11,Q37,Q37_8_TEXT,Q38,Q39_1,Q39_2,Q2,Q3,Q3_5_TEXT,Q1,Q5,Q5_5_TEXT,country,Q37,Q7,Q8,Q9,Q40,Q40_Themes
9/28/2023 14:22,9/28/2023 14:35,IP Address,100,815,TRUE,9/28/2023 14:35,anonymous,EN,Yes,More than 10 times a month,5,5,3,5,2,,Yes,More than 10 times a year,5,5,2,5,1,,,,Yes,,,,,,,10,Mexico,United States,Belize,Costa Rica,Colombia,New Zealand,1,1,1,5,3,1,2,3,,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge,Attended a bird festival/fair","Mostly with a group, occasionally alone",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers,Birdwatching forums or online communities,Social media platforms (e.g., Facebook, Instagram, Twitter),Birdwatching magazines or publications,Bird Fairs",,$400-$600,Extremely important,Extremely important,18-24,Female,,United States of America,Master's degree,,United States of America,,"$100,000 - $200,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",Very important research!,
9/28/2023 14:36,9/28/2023 14:40,IP Address,100,292,TRUE,9/28/2023 14:40,anonymous,EN,Yes,6-10 times a month,1,1,1,11,1,,Yes,6-10 times a year,1,1,1,1,1,,,,Yes,,,,,,,23,,,,,,,1,1,1,1,1,1,1,1,,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge,Attended a bird festival/fair","Mostly alone, occasionally with a group",Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers,Birdwatching forums or online communities,Social media platforms (e.g., Facebook, Instagram, Twitter),Birdwatching magazines or publications,Bird Fairs",,$50-$100,Extremely important,Extremely important,55-64,Female,,Argentina,Bachelor's degree/ Undergraduate degree,,Belarus,,"$200,000-$400,000",1-5 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",,
9/29/2023 10:18,9/29/2023 10:29,IP Address,100,649,TRUE,9/29/2023 10:29,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-34,Female,,,,,,,,,,,
10/3/2023 12:17,10/3/2023 12:18,IP Address,100,38,TRUE,10/3/2023 12:18,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2023 12:18,10/3/2023 12:19,Spam,100,33,TRUE,10/3/2023 12:19,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2023 12:36,10/3/2023 12:38,Spam,100,94,TRUE,10/3/2023 12:38,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2023 12:38,10/3/2023 12:38,Survey Preview,100,56,TRUE,10/3/2023 12:38,preview,EN,No,,,,,,,,No,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2023 6:28,10/4/2023 6:53,IP Address,100,1529,TRUE,10/4/2023 6:53,anonymous,EN,Yes,1-5 times a month,4,1,3,2,5,playgrounds,Yes,1-5 times a year,2,1,4,1,5,food,,,Yes,,,,,,,5,Ecuador,Spain,Germany,Brazil,Mexico,South Africa,1,1,3,4,5,2,1,2,2,playgrounds,"Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge","Mostly with a group, occasionally alone",Very important,Very important,Moderately important,Moderately important,Slightly important,Slightly important,Very important,Moderately important,Moderately important,Extremely important,Moderately important,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers",,$50-$100,Very important,Very important,35-44,Female,,United States of America,Master's degree,,United States of America,,"$100,000 - $200,000",6-10 years,"Casual birder -- enjoys bird watching while taking trips for other primary reasons (nature, culture, hobbies). Doesn’t necessarily keep a list and is mostly driven by the enjoyment of birds for their beauty or interesting features.",I like colorful birds.,
10/3/2023 12:38,10/4/2023 8:39,IP Address,100,72047,TRUE,10/4/2023 8:39,anonymous,EN,Yes,,,,,,,,No,,,,,,,,Health,,No,Not enough interesting birds,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,18-24,,,,,,,,"Over $600,000",More than 10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",test,
10/5/2023 13:17,10/5/2023 13:32,IP Address,100,896,TRUE,10/5/2023 13:32,anonymous,EN,Yes,More than 10 times a month,3,4,2,1,5,Visiting beautiful nearby areas for exercise as well as birding,Yes,6-10 times a year,4,2,3,1,5,,,,Yes,,,,,,,20,Colombia,Tanzania,Cuba,Australia,Portugal,Canada,1,6,8,4,2,5,9,3,7,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge",Always with a group,Very important,Very important,Very important,Very important,Very important,Very important,Extremely important,Slightly important,Slightly important,Very important,Moderately important,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers",,$200-$400,Extremely important,Extremely important,65 or above,Female,,United States of America,Master's degree,,United States of America,White/Caucasian,"$50,000-$100,000",More than 10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",Group size is an important factor - no more than 6-8 people is ideal,
10/5/2023 16:08,10/5/2023 16:20,IP Address,100,701,TRUE,10/5/2023 16:20,anonymous,EN,Yes,1-5 times a month,2,1,5,4,3,,Yes,1-5 times a year,2,1,5,3,4,Guiding/showing friends around. Might come under socializing.,,,Yes,,,,,,,24,India,Vanuatu,Poland,Vietnam,Lao,New Caledonia,4,2,1,9,7,3,5,6,8,Number of species imminently facing extinction (last chance to see them before they go),"Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge","Mostly with a group, occasionally alone",Very important,Extremely important,Moderately important,Very important,Not at all important,Moderately important,Very important,Slightly important,Slightly important,Very important,Moderately important,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers,Social media platforms (e.g., Facebook, Instagram, Twitter)",,$50-$100,Extremely important,Extremely important,25-34,Male,,Australia,Bachelor's degree/ Undergraduate degree,,Australia,White/Caucasian,"Less than $50,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",,
9/29/2023 10:29,9/29/2023 11:13,IP Address,32,2634,FALSE,10/6/2023 11:13,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2023 7:29,10/7/2023 7:54,IP Address,100,1494,TRUE,10/7/2023 7:54,anonymous,EN,Yes,More than 10 times a month,1,3,5,2,4,The best answer might be all of these are equally important to me.,Yes,More than 10 times a year,2,3,5,1,4,,,,Yes,,,,,,,10,Colombia,Tanzania,Cuba,Brazil,Borneo,Papua New Guinea,1,6,7,2,3,5,9,4,8,,"Organized birdwatching tour (an all-inclusive tour where the purpose was solely to look at and/or photograph birds),Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge",Always with a group,Extremely important,Very important,Very important,Moderately important,Very important,Very important,Very important,Slightly important,Slightly important,Very important,Moderately important,"Online search engines,Birdwatching tour company websites,Recommendations from friends or fellow birdwatchers",,$200-$400,Very important,Very important,65 or above,Male,,United States of America,Master's degree,,United States of America,White/Caucasian,"$50,000-$100,000",More than 10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",,
10/7/2023 15:12,10/7/2023 15:17,IP Address,100,319,TRUE,10/7/2023 15:17,anonymous,EN,Yes,More than 10 times a month,1,1,3,3,4,,Yes,6-10 times a year,1,1,5,2,5,,,,Yes,,,,,,,2,Australia ,,,Panama ,Uganda ,Spain,1,1,1,3,3,2,1,1,4,,,,,,,,,,,,,,,,,,,,25-34,Male,,Australia,Bachelor's degree/ Undergraduate degree,,United States of America,White/Caucasian,"$100,000 - $200,000",6-10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",,
10/8/2023 4:18,10/8/2023 4:29,IP Address,100,625,TRUE,10/8/2023 4:29,anonymous,EN,Yes,1-5 times a month,5,5,3,2,3,"Good diversity, interesting habitats, large concentrations, other activities for kids",Yes,1-5 times a year,5,4,5,1,5,Pairing birdwatching with other family activities ,,,Yes,,,,,,,3,Mexico,Costa Rica,Grand Cayman,Chile,,,2,2,4,5,5,3,4,4,1,,Hired a birdwatching guide,"Mostly with a group, occasionally alone",Moderately important,Very important,Moderately important,Very important,Not at all important,Slightly important,Slightly important,Not at all important,Not at all important,Moderately important,Moderately important,"Online search engines,Recommendations from friends or fellow birdwatchers",,$50-$100,Very important,Very important,35-44,Male,,United States of America,Doctorate (PhD) or higher,,United States of America,,"$100,000 - $200,000",More than 10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",,
9/28/2023 14:40,10/4/2023 15:00,IP Address,61,519544,FALSE,10/11/2023 15:00,anonymous,EN,No,,,,,,,,Yes,,1,2,4,3,5,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-54,Female,,,Bachelor's degree/ Undergraduate degree,,Australia,,"$200,000-$400,000",6-10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",,
10/4/2023 14:38,10/4/2023 16:01,IP Address,8,5015,FALSE,10/11/2023 16:01,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2023 12:36,10/5/2023 12:36,IP Address,3,6,FALSE,10/12/2023 12:36,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2023 10:42,10/7/2023 11:43,IP Address,58,3663,FALSE,10/14/2023 11:43,anonymous,EN,Yes,More than 10 times a month,2,3,4,1,5,,Yes,More than 10 times a year,2,1,5,3,4,,,,Yes,,,,,,,3,Brazil,Spain,Ecuador,Ecuador,Costa Rica,Colombia ,3,2,1,9,5,7,4,6,8,,Hired a birdwatching guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
